date,price
Jan-00,39.81
Feb-00,36.35
Mar-00,43.22
Apr-00,28.37
May-00,25.45
Jun-00,32.54
Jul-00,28.4
Aug-00,28.4
Sep-00,24.53
Oct-00,28.02
Nov-00,23.34
Dec-00,17.65
Jan-01,24.84
Feb-01,24
Mar-01,22.25
Apr-01,27.56
May-01,28.14
Jun-01,29.7
Jul-01,26.93
Aug-01,23.21
Sep-01,20.82
Oct-01,23.65
Nov-01,26.12
Dec-01,26.95
Jan-02,25.92
Feb-02,23.73
Mar-02,24.53
Apr-02,21.26
May-02,20.71
Jun-02,22.25
Jul-02,19.52
Aug-02,19.97
Sep-02,17.79
Oct-02,21.75
Nov-02,23.46
Dec-02,21.03
Jan-03,19.31
Feb-03,19.34
Mar-03,19.76
Apr-03,20.87
May-03,20.09
Jun-03,20.93
Jul-03,21.56
Aug-03,21.65
Sep-03,22.69
Oct-03,21.45
Nov-03,21.1
Dec-03,22.46
Jan-04,22.69
Feb-04,21.77
Mar-04,20.46
Apr-04,21.45
May-04,21.53
Jun-04,23.44
Jul-04,23.38
Aug-04,22.47
Sep-04,22.76
Oct-04,23.02
Nov-04,24.6
Dec-04,24.52
Jan-05,24.11
Feb-05,23.15
Mar-05,22.24
Apr-05,23.28
May-05,23.82
Jun-05,22.93
Jul-05,23.64
Aug-05,25.35
Sep-05,23.83
Oct-05,23.8
Nov-05,25.71
Dec-05,24.29
Jan-06,26.14
Feb-06,25.04
Mar-06,25.36
Apr-06,22.5
May-06,21.19
Jun-06,21.8
Jul-06,22.51
Aug-06,24.13
Sep-06,25.68
Oct-06,26.96
Nov-06,27.66
Dec-06,28.13
Jan-07,29.07
Feb-07,26.63
Mar-07,26.35
Apr-07,28.3
May-07,29.11
Jun-07,27.95
Jul-07,27.5
Aug-07,27.34
Sep-07,28.04
Oct-07,35.03
Nov-07,32.09
Dec-07,34
Jan-08,31.13
Feb-08,26.07
Mar-08,27.21
Apr-08,27.34
May-08,27.25
Jun-08,26.47
